timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81991908,01-01 16:46:31:908,-4,2,2,5,0,-1,0,-2
81991953,01-01 16:46:31:953,4,-1,0,-5,-1,-1,-1,0
81992004,01-01 16:46:32:4,-4,1,-2,0,0,-2,-1,0
81992050,01-01 16:46:32:50,-4,-1,1,2,1,1,-1,-2
81992110,01-01 16:46:32:110,-5,-1,3,-1,-1,-1,-2,-3
81992148,01-01 16:46:32:148,-4,0,-1,0,0,0,0,0
81992208,01-01 16:46:32:208,-2,0,-2,0,-1,-1,0,-1
81992251,01-01 16:46:32:251,2,-2,-1,0,0,0,-1,0
81992312,01-01 16:46:32:312,0,-1,0,0,-1,-1,-1,-1
81992365,01-01 16:46:32:365,-6,0,1,-1,0,-1,0,-2
81992412,01-01 16:46:32:412,-9,-2,-4,-1,0,0,-1,-2
81992448,01-01 16:46:32:448,4,-1,-7,-14,-3,0,-1,1
81992508,01-01 16:46:32:508,0,-2,-1,-1,0,0,0,0
81992568,01-01 16:46:32:568,-5,1,1,-1,1,1,2,-2
81992611,01-01 16:46:32:611,-5,-2,-1,-1,-2,0,-3,-1
81992671,01-01 16:46:32:671,4,2,0,0,-2,-1,0,-1
81992710,01-01 16:46:32:710,-1,1,-1,0,-1,-2,-2,0
81992770,01-01 16:46:32:770,-1,-1,-1,0,1,-1,0,-2
81992808,01-01 16:46:32:808,-2,2,0,1,1,-1,0,0
81992868,01-01 16:46:32:868,4,0,0,-2,-1,0,0,0
81992927,01-01 16:46:32:927,-3,1,0,-1,-1,0,0,0
81992973,01-01 16:46:32:973,5,-1,0,-1,0,1,-1,1
81993010,01-01 16:46:33:10,0,5,1,-1,0,0,-1,2
81993070,01-01 16:46:33:70,10,-1,-2,-2,-2,-1,-1,1
81993130,01-01 16:46:33:130,4,0,-1,-5,-3,-3,-2,-1
81993168,01-01 16:46:33:168,2,2,-2,-7,-4,-2,-1,-2
81993226,01-01 16:46:33:226,-2,1,0,-2,1,1,2,0
81993274,01-01 16:46:33:274,1,0,-2,2,0,0,-1,-1
81993333,01-01 16:46:33:333,-8,-3,-1,1,1,0,0,-1
81993370,01-01 16:46:33:370,-9,-2,-1,-1,0,-1,0,-1
81993430,01-01 16:46:33:430,-3,-1,-2,-2,0,1,-3,-1
81993475,01-01 16:46:33:475,-6,-1,-1,1,-2,-2,0,-1
81993535,01-01 16:46:33:535,1,0,-1,0,0,-1,0,1
81993587,01-01 16:46:33:587,-3,1,-2,-2,1,2,1,1
81993633,01-01 16:46:33:633,-19,-6,-2,-3,1,4,1,1
81993670,01-01 16:46:33:670,1,1,0,3,2,0,0,0
81993730,01-01 16:46:33:730,-1,-1,0,-1,1,0,-1,-2
