timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1307788,12-31 18:21:47:788,-1,0,0,0,1,-1,0,-1
1307848,12-31 18:21:47:848,-1,0,0,-1,0,0,-1,1
1307885,12-31 18:21:47:885,-1,-1,-1,0,0,1,0,-1
1307945,12-31 18:21:47:945,-1,0,1,0,-1,0,-2,0
1307989,12-31 18:21:47:989,2,0,0,-1,-1,-2,0,0
1308049,12-31 18:21:48:49,4,-2,0,1,-2,0,0,0
1308100,12-31 18:21:48:100,7,6,0,1,2,1,0,-1
1308148,12-31 18:21:48:148,2,-1,-2,0,-17,-3,-2,14
1308191,12-31 18:21:48:191,-1,-2,-2,-1,-4,-2,-8,-10
1308245,12-31 18:21:48:245,2,-1,0,-1,3,-1,2,0
1308290,12-31 18:21:48:290,6,-1,-2,-2,-5,-2,1,0
1308355,12-31 18:21:48:355,0,1,-1,0,6,0,1,0
1308409,12-31 18:21:48:409,0,0,0,0,8,0,0,0
1308460,12-31 18:21:48:460,0,-1,0,-1,-21,0,-1,0
1308508,12-31 18:21:48:508,-1,0,1,-1,3,-4,1,0
1308567,12-31 18:21:48:567,-1,2,2,-2,1,1,2,0
1308610,12-31 18:21:48:610,-1,-6,-1,-5,-16,-3,-2,1
1308663,12-31 18:21:48:663,0,-1,-3,0,12,0,-2,-8
